_id,licensee_name,licence_number,premises_address,grade,demerit_points,suspension_start_date,suspension_end_date
133,NONYA MANIS CATERERS PTE LTD,SE04050A000,3017 BEDOK NORTH STREET 5 #05-26 SINGAPORE 486121,A,na,na,na
134,CHERISH DELIGHTS PTE. LTD.,SE04032C000,3015 BEDOK NORTH STREET 5 #02-08 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
135,MAPOLLO CATERING PTE LTD,SE04005K000,3017 BEDOK NORTH STREET 5 #01-19 SINGAPORE 486121,B,na,na,na
136,CHILLI API CATERING PTE. LTD.,SE03006P000,3015 BEDOK NORTH STREET 5 #06-19 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
137,CHEO BOON CHUAN,S96149C000,BLK 23 DEFU LANE 10 #01-252 SINGAPORE 539204,B,na,na,na
138,LEE CHOO CHET,S96123B000,BLK 18 DEFU LANE 10 #01-318 SINGAPORE 539199,C,na,na,na
139,ONG SWEE TEN,S96087V000,BLK 36 SIN MING DRIVE #01-371 FOOD CATERING (2) SINGAPORE 576710,B,na,na,na
140,OH CHONG CHING,S88080E000,46 LORONG 1 REALTY PARK PEOPLE'S GARDEN SINGAPORE 536961,B,na,na,na
141,LEE WEE & BROTHERS' FOODSTUFF PTE. LTD.,S03010A000,27 DEFU LANE 10 #01-158 SINGAPORE 539208,A,na,na,na
142,CHILLI API CATERING PTE. LTD.,S02198V000,3015 BEDOK NORTH STREET 5 #06-27/15 SIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
143,LEE WEE & BROTHERS' FOODSTUFF PTE. LTD.,S02118J000,42 LORONG 1 REALTY PARK PEOPLE'S GARDEN SINGAPORE 536959,A,na,na,na
144,LIN MEE LAN,S02110B000,3015 BEDOK NORTH STREET 5 #04-01 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
145,BROSON CATERING PTE. LTD.,S01292L000,3015 BEDOK NORTH STREET 5 #05-21 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
146,ROYAL CATERING SERVICES PTE LTD,S01115A000,3015 BEDOK NORTH STREET 5 #05-11 SHIMEI EAST KITCHEN SINGAPORE 486350,A,6,na,na
147,MASAKAN SHAIK SABRI PTE LTD,S01103J000,3015 BEDOK NORTH STREET 5 #05-19 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
148,SIAU SU GIAN,S01051V000,3015 BEDOK NORTH STREET 5 #04-02 SHIMEI EAST KITCHEN SINGAPORE 486350,B,6,na,na
149,MUM'S KITCHEN CATERING PTE. LTD.,S01046N000,3015 BEDOK NORTH STREET 5 #02-06 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
150,TECK EE FOOD HOLDINGS PTE. LTD.,S01042A000,3015 BEDOK NORTH STREET 5 #04-04 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
151,ZAINAL ABIDIN BIN MOHAMAD,S01024C000,3015 BEDOK NORTH STREET 5 #06-02 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
152,JESSIE CATERING PTE. LTD.,S00146P000,3015 BEDOK NORTH STREET 5 #04-09 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
153,TAN KOON ENG,S00135A000,3015 BEDOK NORTH STREET 5 #05-12 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
154,M.A.C.R.O.S & CO PTE. LTD.,NW16147K000,8A ADMIRALTY STREET #06-40 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,na,na,na,na
155,CHUN HONG CATERING PTE. LTD.,NW16011X000,8A ADMIRALTY STREET #03-17 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,na,na,na,na
156,SELECT CATERING SERVICES PTE. LTD.,NW15718N000,24A SENOKO SOUTH ROAD #01-02 SINGAPORE 758099,A,na,na,na
157,STAMFORD CATERING SERVICES PTE LTD,NW15717P000,24A SENOKO SOUTH ROAD #01-01 SINGAPORE 758099,A,na,na,na
158,SOON YUAN VEGETARIAN FOOD PTE. LTD.,NW15657E000,8A ADMIRALTY STREET #03-11 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,na,na,na
159,AISHWARYA RESTAURANT & CATERING PTE. LTD.,NW15476L000,8A ADMIRALTY STREET #01-02 FOODXCHANGE @ADMIRALTY SINGAPORE 757437,B,na,na,na
160,WONDER RICE PTE. LTD.,NW15304E000,1 SENOKO AVENUE #04-04 FOODAXIS @ SENOKO SINGAPORE 758297,A,na,na,na
